Template,RMSE,W2_MW,M2_MW,W1_MW,U_MW,B_MW,V_MW,W2_Z,M2_Z,W1_Z,U_Z,B_Z,V_Z,W2_HOST,M2_HOST,W1_HOST,U_HOST,B_HOST,V_HOST,W2_TOT,M2_TOT,W1_TOT,U_TOT,B_TOT,V_TOT
SN2011by_3.1_-0.5_.csv,0.004192113669691822,0.3196175572537676,0.40206767575057967,0.2780440136158937,0.24931126204721465,0.2099149878519455,0.15881322555661015,0.13302807726599397,0.10234505739944666,0.17357955766364697,0.0037748875311223173,-0.02871363245341385,-0.02069054720865182,-0.0972333227093145,-0.12264764016609675,-0.0834440154028755,-0.07162885890328852,-0.05861265473955868,-0.04211527370237533,0.3554123118104471,0.3817650929839296,0.3681795558766652,0.18145729067504845,0.12258870065897298,0.096007404645583
SN2011by_2.7_-0.4_.csv,0.004189918249208836,0.3195702554617874,0.40187699022980894,0.2780372092136467,0.24933389776252213,0.20987177258093936,0.15879302036083942,0.1327315512972831,0.10247761533037547,0.1738226701046841,0.003431956029590566,-0.028014586991755408,-0.019466726477297414,-0.09720799682859749,-0.12256095072902795,-0.0834446868292602,-0.07163580156034399,-0.058597922633392585,-0.04210883993749093,0.355093809930473,0.38179365483115646,0.3684151924890706,0.1811300522317687,0.12325926295579137,0.09721745394605108
SN2011by_2.7_-0.5_.csv,0.010553370730123676,0.32513768216783134,0.4052626127203105,0.2797956202639007,0.2494518421058487,0.21002294802256927,0.15883802774354194,0.13014853614942368,0.09222284373537448,0.17187289823716512,0.0011215026525412952,-0.030439823415154166,-0.02207620041958336,-0.0990371651700599,-0.12376212246507379,-0.0839900308873176,-0.07167613475608547,-0.058649025980507474,-0.042122245814383064,0.3562490531471951,0.3737233339906112,0.3676784876137482,0.17889721000230452,0.12093409862690763,0.09463958150957552
SN2011fe_3.1_-0.2_.csv,0.009893888823197442,0.33768197758663376,0.4121651123723922,0.2808433167315094,0.24873286232756087,0.20974990321283826,0.158743229643882,0.11652581578168508,0.06490472299308436,0.15869674538504341,0.009115689425101436,-0.027272825922604937,-0.016610120064321166,-0.10315195713073422,-0.1262762171395373,-0.084205721002661,-0.07143088151585175,-0.058576332873354175,-0.042115385101460845,0.35105583623758463,0.35079361822593924,0.35533434111389184,0.18641767023681055,0.12390074441687915,0.10001772447809998
SN2011fe_1.8_-0.1_.csv,0.010772404041121758,0.3387010276199973,0.4124936494261995,0.2811900794429434,0.24877710151937293,0.2097256083883714,0.15872744994721089,0.11560704801986788,0.06319475897706184,0.15856220720147007,0.00835644985271955,-0.026882051743964297,-0.01564792943655391,-0.10347675323096439,-0.12637435044839762,-0.08431672744932328,-0.07144491693073718,-0.05856799966167614,-0.0421102059387195,0.3508313224089008,0.3493140579548637,0.3554355591950902,0.1856886344413553,0.12427555698273096,0.10096931457193747
foley1.1_2.7_-0.5_.csv,0.008720303661792583,0.3287498952464709,0.4086646869240482,0.2792024130399433,0.24883963151591715,0.2099052319691488,0.1594892900135072,0.09080565435036192,0.08025926078352441,0.16134267124624557,0.028904073121459817,-0.03260165148568106,-0.0004223057294723276,-0.10039081099972336,-0.12528608548466025,-0.08374262306573854,-0.07135513135316884,-0.05859400209680743,-0.04273879099992328,0.3191647385971095,0.3636378622229124,0.35680246122045034,0.20638857328420812,0.1187095783866603,0.11632819328411159
foley0.9_1.8_-0.4_.csv,0.0073940931973202504,0.31515341973298305,0.3970259075141449,0.2778624926954514,0.24967953476507176,0.21025728000331512,0.1595101482374588,0.10238674351244725,0.11575388979794354,0.17532803989035628,0.015852866965353485,-0.03623838781871669,-0.0023232823593168916,-0.09587273771415283,-0.1210806263294728,-0.08346493806526922,-0.07163390166095951,-0.05870379024911543,-0.04274259051404172,0.3216674255312775,0.39169917098261564,0.36972559452053844,0.19389850006946574,0.115315101935483,0.11444427536410018
foley1.0_1.8_-0.4_.csv,0.007605286348568543,0.32919128254932417,0.40777996733618593,0.28060268313032566,0.24942528232036665,0.210174365646143,0.1595139357968982,0.09293653255259215,0.08259619543475694,0.16628242929799697,0.019114960718923157,-0.035905186615114104,-0.001998971587376275,-0.10049314705042889,-0.12489128526827642,-0.08424271765902702,-0.07154893135911777,-0.05867988712215677,-0.04274400179217963,0.32163466805148744,0.36548487750266645,0.3626423947692956,0.19699131168017203,0.11558929190887213,0.1147709624173423
foley1.15_2.7_-0.5_.csv,0.009937930775171664,0.3337795972094355,0.4114859530203212,0.28036437465963004,0.2487001103496027,0.2098630522616709,0.15949126533056912,0.08732319200699834,0.07129699603731154,0.15718753546870445,0.03065037498580736,-0.03243596822483141,-0.00025000761052851317,-0.1020640219560427,-0.12634121274443189,-0.08407789694497225,-0.07130930164903759,-0.05858189572114725,-0.04273953918214701,0.31903876726039115,0.35644173631320086,0.35347401318336225,0.20804118368637248,0.11884518831569224,0.1165017185378936
foley0.95_1.8_-0.4_.csv,0.0029754753555901246,0.3224735242559298,0.4030579765269735,0.2792286876447214,0.2495543686793127,0.21021589524676187,0.1595120260104821,0.09746129609534648,0.09724062257896549,0.1708246238736777,0.017459894400648324,-0.036072068652188705,-0.0021624853015254075,-0.09827711285361218,-0.12319235483260371,-0.08385127787404656,-0.0715920094271496,-0.058691857892455346,-0.04274329029464141,0.3216577074976641,0.3771062442733353,0.36620203364435255,0.1954222536528114,0.11545196870211782,0.11460625041431527
