Template,RMSE,W2_MW,M2_MW,W1_MW,U_MW,B_MW,V_MW,W2_Z,M2_Z,W1_Z,U_Z,B_Z,V_Z,W2_HOST,M2_HOST,W1_HOST,U_HOST,B_HOST,V_HOST,W2_TOT,M2_TOT,W1_TOT,U_TOT,B_TOT,V_TOT
SN2011by_3.1_-0.5_.csv,0.004359373004025331,0.3196175572537676,0.40206767575057967,0.2780440136158937,0.24931126204721465,0.2099149878519455,0.15881322555661015,0.13302807726599397,0.10234505739944666,0.17357955766364697,0.0037748875311223173,-0.02871363245341385,-0.02069054720865182,-0.572278450333755,-0.7283541444402282,-0.49753676708403205,-0.4297735727591814,-0.3515627289149563,-0.25276224394413305,-0.11963281581399343,-0.22394141129020184,-0.04591319580449138,-0.1766874231808444,-0.17036137351642466,-0.11463956559617472
SN2011by_1.8_-0.2_.csv,0.018114463869529078,0.317054032909418,0.4000284281602795,0.2772592284830502,0.24931591792276464,0.2097364465277778,0.1587414987925122,0.1333978236904123,0.10739794692401361,0.17499241558321543,0.003936011714582577,-0.025832731966008993,-0.016395384333904417,-0.5673060185546746,-0.7237206594768146,-0.49617143680339026,-0.429769457750826,-0.35119745602383645,-0.2526278519805345,-0.11685416195484422,-0.21629428439252152,-0.04391979273712465,-0.17651752811347876,-0.16729374146206766,-0.11028173752192671
SN2011by_2.7_-0.4_.csv,0.005599708818673511,0.3195702554617874,0.40187699022980894,0.2780372092136467,0.24933389776252213,0.20987177258093936,0.15879302036083942,0.1327315512972831,0.10247761533037547,0.1738226701046841,0.003431956029590566,-0.028014586991755408,-0.019466726477297414,-0.5721440916724099,-0.7278387336414163,-0.49754717853830854,-0.4298145160492446,-0.35147401374800324,-0.2527236648343951,-0.11984228491333937,-0.22348412808123186,-0.04568729921997772,-0.1770486622571319,-0.1696168281588193,-0.11339737095085312
SN2011by_2.7_-0.5_.csv,0.007463990981623059,0.32513768216783134,0.4052626127203105,0.2797956202639007,0.2494518421058487,0.21002294802256927,0.15883802774354194,0.13014853614942368,0.09222284373537448,0.17187289823716512,0.0011215026525412952,-0.030439823415154166,-0.02207620041958336,-0.5827400346367355,-0.735164961494025,-0.5007143160306029,-0.430055634160702,-0.3517817216080914,-0.25280392430959964,-0.1274538163194805,-0.23767950503834,-0.04904579752953708,-0.17948228940231203,-0.1721985970006763,-0.11604209698564105
foley0.9_1.8_-0.4_.csv,0.008044875744555419,0.31515341973298305,0.3970259075141449,0.2778624926954514,0.24967953476507176,0.21025728000331512,0.1595101482374588,0.10238674351244725,0.11575388979794354,0.17532803989035628,0.015852866965353485,-0.03623838781871669,-0.0023232823593168916,-0.5652344077368205,-0.7186909307330893,-0.4979834017646638,-0.4297956241290848,-0.3521103845938178,-0.2565519807315475,-0.14769424449139024,-0.20591113342100087,-0.044792869178856165,-0.16426322239865954,-0.1780914924092194,-0.0993651148534056
foley0.9_1.8_-0.5_.csv,0.019887854716300564,0.3242311316401043,0.40299108274899353,0.2807307917317843,0.2499135008754152,0.21049259143132204,0.1595659805003642,0.09815340641814174,0.09715091857373181,0.17236426585974485,0.010893505516989421,-0.04004747711246637,-0.004691343505228929,-0.5824288859935045,-0.7316359587150636,-0.5031611042362556,-0.43027006856623373,-0.3525864110515329,-0.2566346607765766,-0.16004434793525846,-0.23149395739233825,-0.05006604664472647,-0.16946306217382912,-0.1821412967326772,-0.10176002378144133
foley1.0_1.8_-0.4_.csv,0.011673909678301314,0.32919128254932417,0.40777996733618593,0.28060268313032566,0.24942528232036665,0.210174365646143,0.1595139357968982,0.09293653255259215,0.08259619543475694,0.16628242929799697,0.019114960718923157,-0.035905186615114104,-0.001998971587376275,-0.591368627288059,-0.7418276041651168,-0.50216685163387,-0.429289588133674,-0.3519666628130196,-0.25656048173461343,-0.16924081218614262,-0.25145144139417397,-0.05528173920554735,-0.1607493450943842,-0.17769748378199068,-0.0990455175250915
foley0.95_1.8_-0.4_.csv,0.005422346810434718,0.3224735242559298,0.4030579765269735,0.2792286876447214,0.2495543686793127,0.21021589524676187,0.1595120260104821,0.09746129609534648,0.09724062257896549,0.1708246238736777,0.017459894400648324,-0.036072068652188705,-0.0021624853015254075,-0.5787692734422087,-0.7314615140284886,-0.5000597658596782,-0.4295461126905131,-0.35203863720525064,-0.2565561959369411,-0.15883445309093247,-0.2311629149225496,-0.05000645434127904,-0.16253184961055211,-0.17789481061067747,-0.09920665522798444
foley0.85_1.8_-0.5_.csv,0.007489138194633863,0.31534788585556583,0.3951826181181559,0.27911388392389824,0.25003595602110096,0.2105335378457518,0.1595640910082743,0.10390927474513845,0.12050231472200323,0.1773958802058253,0.009296438677974805,-0.0402165949260791,-0.004849717640308171,-0.5660475219187902,-0.7154742946200336,-0.5007062106551672,-0.4305163067571911,-0.3526577575558463,-0.2566305284248678,-0.14679036131808587,-0.1997893617798745,-0.04419644652544363,-0.17118391205811534,-0.18234081463617358,-0.10191615505690166
foley0.8_1.8_-0.5_.csv,0.011640125974091286,0.3053698137418799,0.38413572712721233,0.27749958717114254,0.25015475547743904,0.21057433845601636,0.1595622326604662,0.11039042196223292,0.1529789994195916,0.18240370484464918,0.007744973745587913,-0.04038513039659364,-0.00500550411820555,-0.547983549318964,-0.6939435770855944,-0.49827968919520416,-0.4307559146703781,-0.35272887410667053,-0.2566264630184101,-0.13222331361485118,-0.15682885053879048,-0.038376397179412436,-0.17285618544735115,-0.1825396660472478,-0.10206973447614942
