Spectrum,lb,av26,av31,redshift,dmb,U,B,V,UVW2,UVM2,UVW1
SN2011fe_peak_11fe_appended,1.5,0.0,0.0,0.02,1,-19.830566,-19.827991,-19.53566,-17.769824,-17.751232,-18.477418
SN2011fe_peak_11fe_appended,1.5,0.1,0.0,0.0,1,-19.889485,-19.817011,-19.222191,-17.794627,-17.766638,-18.557001
SN2011fe_peak_11fe_appended,1.5,0.1,0.0,0.01,1,-19.84989,-19.827608,-19.413296,-17.782811,-17.75948,-18.517546
SN2011fe_peak_11fe_appended,1.5,0.1,0.0,0.02,1,-19.830566,-19.827991,-19.53566,-17.769824,-17.751232,-18.477418
SN2011fe_peak_11fe_appended,1.5,0.0,0.1,0.0,1,-19.561008,-19.541394,-19.010516,-17.261753,-17.176529,-18.150379
SN2011fe_peak_11fe_appended,1.5,0.0,0.1,0.01,1,-19.519952,-19.549666,-19.202638,-17.248217,-17.162543,-18.105956
SN2011fe_peak_11fe_appended,1.5,0.0,0.1,0.02,1,-19.499354,-19.547744,-19.324644,-17.233784,-17.148607,-18.060718
SN2011fe_peak_11fe_appended,1.5,0.1,0.1,0.0,1,-19.561008,-19.541394,-19.010516,-17.261753,-17.176529,-18.150379
SN2011fe_peak_11fe_appended,1.5,0.1,0.1,0.01,1,-19.519952,-19.549666,-19.202638,-17.248217,-17.162543,-18.105956
SN2011fe_peak_11fe_appended,1.5,0.1,0.1,0.02,1,-19.499354,-19.547744,-19.324644,-17.233784,-17.148607,-18.060718
SN2011fe_peak_11fe_appended,2.0,0.0,0.0,0.0,1,-19.762443,-19.801511,-19.222138,-17.675257,-17.639031,-18.448634
SN2011fe_peak_11fe_appended,2.0,0.0,0.0,0.01,1,-19.723045,-19.808284,-19.413238,-17.663291,-17.631838,-18.408563
SN2011fe_peak_11fe_appended,2.0,0.0,0.0,0.02,1,-19.703897,-19.805265,-19.535596,-17.650119,-17.623558,-18.367767
SN2011fe_peak_11fe_appended,2.0,0.1,0.0,0.0,1,-19.762443,-19.801511,-19.222138,-17.675257,-17.639031,-18.448634
SN2011fe_peak_11fe_appended,2.0,0.1,0.0,0.01,1,-19.723045,-19.808284,-19.413238,-17.663291,-17.631838,-18.408563
SN2011fe_peak_11fe_appended,2.0,0.1,0.0,0.02,1,-19.703897,-19.805265,-19.535596,-17.650119,-17.623558,-18.367767
SN2011fe_peak_11fe_appended,2.0,0.0,0.1,0.0,1,-19.434031,-19.526341,-19.010468,-17.144631,-17.04901,-18.044408
SN2011fe_peak_11fe_appended,2.0,0.0,0.1,0.01,1,-19.393188,-19.530868,-19.202585,-17.130922,-17.034978,-17.999377
SN2011fe_peak_11fe_appended,2.0,0.0,0.1,0.02,1,-19.372776,-19.525603,-19.324587,-17.116271,-17.021002,-17.953473
SN2011fe_peak_11fe_appended,2.0,0.1,0.1,0.0,1,-19.434031,-19.526341,-19.010468,-17.144631,-17.04901,-18.044408
SN2011fe_peak_11fe_appended,2.0,0.1,0.1,0.01,1,-19.393188,-19.530868,-19.202585,-17.130922,-17.034978,-17.999377
SN2011fe_peak_11fe_appended,2.0,0.1,0.1,0.02,1,-19.372776,-19.525603,-19.324587,-17.116271,-17.021002,-17.953473
SN2022hrs_peak_11fe_appended,1.0,0.0,0.0,0.0,1,-19.442761,-19.874956,-19.542045,-16.391067,-15.334715,-17.920233
SN2022hrs_peak_11fe_appended,1.0,0.0,0.0,0.01,1,-19.331972,-19.88667,-19.753753,-16.364846,-15.266372,-17.850388
SN2022hrs_peak_11fe_appended,1.0,0.0,0.0,0.02,1,-19.284959,-19.889374,-19.879,-16.338648,-15.220175,-17.778226
SN2022hrs_peak_11fe_appended,1.0,0.1,0.0,0.0,1,-19.442761,-19.874956,-19.542045,-16.391067,-15.334715,-17.920233
SN2022hrs_peak_11fe_appended,1.0,0.1,0.0,0.01,1,-19.331972,-19.88667,-19.753753,-16.364846,-15.266372,-17.850388
SN2022hrs_peak_11fe_appended,1.0,0.1,0.0,0.02,1,-19.284959,-19.889374,-19.879,-16.338648,-15.220175,-17.778226
SN2022hrs_peak_11fe_appended,1.0,0.0,0.1,0.0,1,-19.114337,-19.600033,-19.330106,-15.980653,-14.818484,-17.566518
SN2022hrs_peak_11fe_appended,1.0,0.0,0.1,0.01,1,-19.000989,-19.609438,-19.543328,-15.950573,-14.736203,-17.49593
SN2022hrs_peak_11fe_appended,1.0,0.0,0.1,0.02,1,-18.952191,-19.609981,-19.668504,-15.920677,-14.676973,-17.423089
SN2022hrs_peak_11fe_appended,1.0,0.1,0.1,0.0,1,-19.114337,-19.600033,-19.330106,-15.980653,-14.818484,-17.566518
