Template,RMSE,W2V_MW,M2V_MW,W1V_MW,UV_MW,BV_MW,W2V_Z,M2V_Z,W1V_Z,UV_Z,BV_Z,W2V_HOST,M2V_HOST,W1V_HOST,UV_HOST,BV_HOST,W2V_TOT,M2V_TOT,W1V_TOT,UV_TOT,BV_TOT
SN2011by_2.7_0.1_.csv,0.008316554853673419,0.031996456939847207,0.05125324638448703,0.027154165285701026,0.021505016090316076,0.012165062527870418,0.02361082218932964,0.029512576485586806,0.029211069179130078,0.00890466341874685,-0.0016835745917092027,0.3391585711789027,0.5303841195827736,0.27701818696892744,0.20741556485389978,0.11507909967272312,0.39476585030807954,0.6111499424528475,0.33338342143375854,0.2378252443629627,0.12556058760888433
SN2011by_1.8_0.0_.csv,0.0023712155641292428,0.03297991712232218,0.05211885279823747,0.02746662817930101,0.021520388349991038,0.012192745258690962,0.023753403006541163,0.028182600964935745,0.02949269552072309,0.008934836049849793,-0.001669729310155077,0.35003472964736915,0.5391043426770636,0.2803599818431408,0.2076026636191095,0.1153497344917902,0.4067680497762325,0.6194057964402369,0.3373193055431649,0.23805788801895034,0.1258727504403261
SN2011by_2.7_0.0_.csv,0.0023712155641292428,0.03297991712232218,0.05211885279823747,0.02746662817930101,0.021520388349991038,0.012192745258690962,0.023753403006541163,0.028182600964935745,0.02949269552072309,0.008934836049849793,-0.001669729310155077,0.35003472964736915,0.5391043426770636,0.2803599818431408,0.2076026636191095,0.1153497344917902,0.4067680497762325,0.6194057964402369,0.3373193055431649,0.23805788801895034,0.1258727504403261
SN2011by_3.1_0.1_.csv,0.005729927435406801,0.032187998972403875,0.05141654458022771,0.02721749605330359,0.021509894077968994,0.012169409591585634,0.023596705928024875,0.029220984667553296,0.029236139696916297,0.008863528971570389,-0.0016972685412603994,0.3412809638107177,0.5320249132334993,0.27769457569798917,0.20747113422817876,0.115121337412873,0.39706566871114646,0.6126624424812803,0.33414821144820905,0.23784455727771814,0.12559347846319824
SN2011by_3.1_-0.1_.csv,0.014273868200095964,0.03380150106788804,0.052819835635457224,0.027719987914764488,0.021530884929024552,0.012216005285971221,0.023893395012208885,0.027140485880675413,0.029734475980497166,0.009005413957424935,-0.001641059350546925,0.3590935148288956,0.5461528256156001,0.2830777981964516,0.20773440110054864,0.11557734967581013,0.41678841090899255,0.6261131471317327,0.3405322620917133,0.23827069998699812,0.12615229561123442
SN2011by_3.1_0.0_.csv,0.0023712155641292428,0.03297991712232218,0.05211885279823747,0.02746662817930101,0.021520388349991038,0.012192745258690962,0.023753403006541163,0.028182600964935745,0.02949269552072309,0.008934836049849793,-0.001669729310155077,0.35003472964736915,0.5391043426770636,0.2803599818431408,0.2076026636191095,0.1153497344917902,0.4067680497762325,0.6194057964402369,0.3373193055431649,0.23805788801895034,0.1258727504403261
SN2011fe_1.8_0.2_.csv,0.01642913309412215,0.03466545694921308,0.05391349449125471,0.027248641636901993,0.02136494054128235,0.012147212593966117,0.021344711727998344,0.02306963792597827,0.027252588015841184,0.009589712214030044,-0.0020669138655406982,0.3705105144031364,0.5572265759977064,0.27870277541747157,0.20586528491549672,0.11491118220857288,0.42652068308034785,0.6342097084149394,0.33320400507021475,0.2368199376708091,0.1249914809369983
SN2011fe_2.7_0.3_.csv,0.013956515742297185,0.03531587149097959,0.05430334462757003,0.027457521711809818,0.021385871385110278,0.012153152843712434,0.021017594502829695,0.022115331710743646,0.02712621105327173,0.009264221711166698,-0.0021838972087806496,0.3775685345542179,0.5610717238216232,0.28095319159479004,0.20609228392477164,0.11496722407026283,0.4339020005480272,0.6374904001599369,0.3355369243598716,0.2367423770210486,0.12493647970519461
SN2011fe_3.1_0.3_.csv,0.014506771271353663,0.036045240580936166,0.05478111837349786,0.027683054958693276,0.02139946506871837,0.012166150076740934,0.02090070058845228,0.021238768506911754,0.027153262039544046,0.009154932094688206,-0.00222411549842505,0.3854453139614584,0.565817924668746,0.2833862610595368,0.20624721599718399,0.11509343585738918,0.44239125513084687,0.6418378115491556,0.3382225780577741,0.23680161316059056,0.12503547043570507
SN2021fxy_2.7_-0.5_.csv,0.006540940392139692,0.03246320140580039,0.05354896179259683,0.027181272238831156,0.021237207730511187,0.012244244097505685,0.025665106416084882,0.0286110691216237,0.029099935444861558,0.015517122387851856,-0.001803334897768849,0.3456752797438014,0.5541136442955334,0.27781293810874175,0.2043890825363981,0.11581981004760067,0.4038035875656867,0.636273675209754,0.33409414579243446,0.24114341265476114,0.1262607192473375
