,zhel,zcmb,EBVmw,st,e_st,covM_st,covBV_M,BV,e_BV,B_Tmax,B_Mmax,B_eMmax,V_Tmax,V_Mmax,V_eMmax,u_Tmax,u_Mmax,u_eMmax,UVW2_Tmax,UVW2_Mmax,UVW2_eMmax,UVM2_Tmax,UVM2_Mmax,UVM2_eMmax,UVW1_Tmax,UVW1_Mmax,UVW1_eMmax
SN2010Y,0.01086,0.011224351121005869,0.0117,0.753562394700233,0.022217138401582705,0.00037750084464238675,0.0005165828189723583,-0.059345245361328125,0.09708265045422416,2455247.75,15.13790512084961,0.02726593054831028,2455249.0,15.197250366210938,0.09317515790462494,2455246.25,14.651204109191895,0.07310521602630615,2455246.5,17.319047927856445,0.13025087118148804,2455248.0,17.456018447875977,0.15411041676998138,2455245.75,15.942232131958008,0.09814461320638657
SN2013E,0.009413,0.010462802949383397,0.0843,1.1939515673684549,0.030020098162096682,-0.00010897145880358473,0.0003353842699535641,0.12307929992675781,0.028575404688206702,2456309.0,14.119343757629395,0.018397999927401543,2456310.0,13.996264457702637,0.0218647513538599,2456307.5,13.870283126831055,0.024030635133385658,2456307.25,17.28946304321289,0.04234924912452698,2456308.75,18.414684295654297,0.05581124126911163,2456306.75,15.626106262207031,0.03442175313830376
SN2013gh,0.0088,0.007740807639436221,0.0245,0.9715771213457925,0.025099700167585493,0.00020736137807533773,0.0003020795062771846,0.18852806091308594,0.0338939014928915,2456528.25,14.433388710021973,0.020032091066241264,2456529.5,14.244860649108887,0.027340663596987724,2456527.0,14.411372184753418,0.020747246220707893,2456526.75,17.523271560668945,0.039198946207761765,2456528.25,18.58342170715332,0.0640101432800293,2456526.0,16.06503677368164,0.03102731704711914
SN2015M,0.0231,0.023994290423354096,0.0088,1.2460381452168905,0.0512362173681485,0.0007189095062401212,0.0009990508479872872,0.017951011657714844,0.05238253176976434,2457167.25,15.55880069732666,0.03422563895583153,2457168.5,15.540849685668945,0.039655204862356186,2457165.75,15.225261688232422,0.041213881224393845,2457165.75,17.968791961669922,0.06828545778989792,2457167.25,18.209672927856445,0.0794009193778038,2457165.25,16.73297119140625,0.05437755212187767
SN2013bs,0.027612,0.027491751094297724,0.0245,0.8505826557466644,0.034895820767733024,0.0007234336421987042,0.0009010648499460166,0.12053489685058594,0.04740326413841839,2456406.5,16.821510314941406,0.03294868394732475,2456407.75,16.70097541809082,0.034080106765031815,2456404.75,16.619754791259766,0.03189527243375778,2456405.0,19.385103225708008,0.09271565824747086,2456406.5,19.445966720581055,0.11981852352619171,2456404.25,18.250905990600586,0.056463804095983505
SN2006ej,0.02045,0.019347437955555425,0.0296,0.8596960367261954,0.011630507973897856,-9.334113844479744e-06,0.00019127201918979806,0.044956207275390625,0.03727448984794199,2453976.25,15.867847442626953,0.015410936437547207,2453977.75,15.822891235351562,0.03393951430916786,2453974.75,15.55760669708252,0.03689076751470566,2453975.0,18.75188636779785,0.07892667502164841,2453976.5,18.710920333862305,0.10239117592573166,2453974.25,17.144031524658203,0.04983242601156235
SN2006dm,0.02202,0.02081494977365061,0.0326,0.8292256922860971,0.013588609047649147,0.00013835951314298777,0.000305220864145692,0.07852363586425781,0.026110065566941166,2453929.0,16.245391845703125,0.018773464486002922,2453930.25,16.166868209838867,0.018146419897675514,2453927.5,15.985062599182129,0.018985290080308914,2453927.5,19.016122817993164,0.06222102791070938,2453929.25,19.31053352355957,0.1170303001999855,2453927.0,17.581893920898438,0.029436107724905014
SN2009dc,0.021391,0.02170788526748367,0.0597,1.371878978879728,0.021744191994943887,2.860942383476489e-05,2.1502441382720705e-05,0.03117656707763672,0.060791864620241304,2454947.25,15.348111152648926,0.006290941499173641,2454948.5,15.316934585571289,0.060465484857559204,2454945.75,14.644704818725586,0.051088783890008926,2454945.75,17.673450469970703,0.08906307816505432,2454947.0,17.763164520263672,0.09528840333223343,2454945.0,16.259973526000977,0.06908175349235535
SN2005hk,0.01299,0.01183243278832411,0.0193,0.7867470868896789,0.010632439336257979,8.248198385682797e-05,6.508929900095079e-05,0.2493267059326172,0.05676660420457683,2453684.75,15.88564682006836,0.010133433155715466,2453686.0,15.636320114135742,0.05585481971502304,2453683.25,15.58718204498291,0.0808202251791954,2453683.25,18.52445411682129,0.1618776172399521,2453685.0,18.99079704284668,0.28582051396369934,2453682.75,16.958045959472656,0.11851595342159271
SN2015I,0.0076,0.00812808446922817,0.0573,1.0136455633496055,0.026556137946842185,9.221648466291829e-05,0.00017355982156166058,0.11463451385498047,0.021659858688719853,2457157.25,14.1672945022583,0.013787522912025452,2457158.5,14.05265998840332,0.016704900190234184,2457156.0,13.7438325881958,0.01453916821628809,2457155.75,17.089719772338867,0.030338218435645103,2457157.25,18.43984031677246,0.04809220880270004,2457155.25,15.37121868133545,0.024007339030504227
SN2007cv,0.007562,0.008711140114378757,0.0611,0.7911930388378128,0.015302092039275288,0.0002491458687438564,0.0007014670831109331,0.13505172729492188,0.04122085178972385,2454291.25,15.357369422912598,0.02885311096906662,2454292.5,15.222317695617676,0.029439032077789307,2454289.5,15.099421501159668,0.02957947738468647,2454289.75,18.305444717407227,0.06275290995836258,2454291.5,19.563337326049805,0.13737636804580688,2454289.0,16.680131912231445,0.04398881644010544
SN2014I,0.03,0.030210744037773008,0.0207,0.9400422473351862,0.07259873051442552,0.0009134634480689156,0.0005065287097625302,-0.08832359313964844,0.04641798315630833,2456683.0,16.456296920776367,0.027924487367272377,2456684.5,16.544620513916016,0.03707899898290634,2456681.75,15.874927520751953,0.025956284254789352,2456681.75,19.204988479614258,0.05332858860492706,2456683.0,20.111473083496094,0.08741627633571625,2456681.0,17.64850425720215,0.03900537267327309
SN2007gi,0.00482,0.00525233272646498,0.019,0.845825004802835,0.00972510265002138,7.406392207213028e-05,0.00015950425959104775,0.08905029296875,0.07945178989926992,2454327.25,13.257859230041504,0.013090181164443493,2454328.5,13.168808937072754,0.07836602628231049,2454325.5,13.208685874938965,0.04782846197485924,2454325.75,16.29826545715332,0.07920494675636292,2454327.25,16.97418785095215,0.22805996239185333,2454325.0,14.49833869934082,0.06060706079006195
SN2017fzw,0.0054,0.005794884690193988,0.0369,0.784101878217666,0.027458648120046232,0.0009201676221801079,0.002532703395107435,0.6081686019897461,0.07393914148579168,2457989.0,14.384754180908203,0.05663667619228363,2457990.25,13.776585578918457,0.04753192141652107,2457987.5,14.583908081054688,0.05537731572985649,2457987.5,17.147768020629883,0.10111779719591141,2457989.25,18.956989288330078,0.17380304634571075,2457987.0,15.779991149902344,0.08274143934249878
SN2012ht,0.003559,0.004686956741069095,0.0252,0.9298765388965669,0.009089258376475584,4.7435866004242454e-05,6.272260577273051e-05,0.019269943237304688,0.021087521676872962,2456295.5,13.136675834655762,0.009543534368276596,2456297.0,13.117405891418457,0.01880437508225441,2456294.25,12.913084983825684,0.019660957157611847,2456294.0,15.819466590881348,0.0330207422375679,2456295.75,16.236963272094727,0.040388718247413635,2456293.5,14.289186477661133,0.026970725506544113
SN2010ev,0.009211,0.010230551515530222,0.0892,0.9328724010694713,0.017323512070744694,0.00021993908613697575,0.0004519707207589664,0.3970451354980469,0.03123069945649266,2455385.0,14.974146842956543,0.0233357734978199,2455386.25,14.577101707458496,0.02075568027794361,2455383.75,15.017858505249023,0.025284478440880775,2455383.5,18.284046173095703,0.06327957659959793,2455385.25,19.407129287719727,0.20998509228229523,2455383.0,16.57900047302246,0.03066558577120304
SN2018gv,0.005274,0.006130191190368258,0.0497,1.0898278943524367,0.009714459828100978,4.255333269884975e-05,0.00022035022391385988,0.011427879333496094,0.022043669682893962,2458150.25,12.855443000793457,0.015378637239336967,2458151.0,12.844015121459961,0.01579306460916996,2458148.75,12.288298606872559,0.01806223765015602,2458148.75,15.201214790344238,0.026139035820961,2458150.0,16.097349166870117,0.029891494661569595,2458148.0,13.692012786865234,0.021249854937195778
SN2009an,0.009233,0.00957425406250175,0.0161,0.8161469698730675,0.014932189487450424,0.0001778727523420229,0.0002583877666074793,0.07809162139892578,0.05209539561172564,2454899.0,14.55241870880127,0.017410557717084885,2454900.25,14.474327087402344,0.04909992590546608,2454897.5,14.45256233215332,0.04916762560606003,2454897.75,17.695526123046875,0.07480382919311523,2454899.25,18.7530460357666,0.11126228421926498,2454897.0,16.022075653076172,0.055755943059921265
SN2008hs,0.017369,0.016661116760135788,0.0497,0.7025659276150903,0.019712792515431836,0.0004636561060788233,0.0006418535819964395,0.08105087280273438,0.047896211895310875,2454813.0,16.372644424438477,0.02821188047528267,2454814.25,16.291593551635742,0.038705773651599884,2454811.5,16.195837020874023,0.04118264466524124,2454811.5,19.15988540649414,0.08904927968978882,2454813.25,19.703367233276367,0.19514234364032745,2454811.0,17.738922119140625,0.06767163425683975
iPTF13dge,0.015854,0.015804579435588776,0.0778,1.0266011552604577,0.01180742334137681,7.844392236508114e-05,0.0001991302373628994,0.029470443725585938,0.022826296033670094,2456556.25,15.417827606201172,0.01533256471157074,2456557.25,15.388357162475586,0.016910122707486153,2456555.0,15.175820350646973,0.018042124807834625,2456554.75,18.346227645874023,0.03496855869889259,2456556.0,19.320560455322266,0.06087140738964081,2456554.0,16.723649978637695,0.02354578487575054
SN2009cz,0.021138,0.02199328346370701,0.0221,1.186242915855154,0.016029327370187172,0.00010898799034514928,0.00015752540794926968,0.0258636474609375,0.020027537265280268,2454943.5,15.844802856445312,0.013891519978642464,2454944.75,15.818939208984375,0.014426639303565025,2454942.0,15.65394401550293,0.015664158388972282,2454942.0,19.106571197509766,0.030506681650877,2454943.5,20.613189697265625,0.08981254696846008,2454941.25,17.437625885009766,0.019309908151626587
SN2005ke,0.00488,0.0044863909348491085,0.02,0.4826393426273417,0.014368946513599514,7.67505843057781e-05,8.125933176635521e-05,0.7059717178344727,0.0351322589668882,2453699.5,14.87169361114502,0.011510903015732765,2453701.0,14.165721893310547,0.033192992210388184,2453697.75,15.280017852783203,0.04437525197863579,2453697.75,18.174577713012695,0.09415993839502335,2453689.0,18.714265823364258,0.14657819271087646,2453697.25,16.780488967895508,0.0738379955291748
SN2016coj,0.004483,0.004846517446311215,0.0163,0.9466909008604718,0.016511579760423955,0.0006336331247096207,0.003035804626360176,0.2727794647216797,0.08763398631357573,2457548.0,13.434127807617188,0.06507264077663422,2457549.25,13.161348342895508,0.05869639664888382,2457546.75,13.214712142944336,0.07138434797525406,2457546.5,15.726215362548828,0.02186165750026703,2457548.0,16.3322696685791,0.04586609825491905,2457545.75,14.407171249389648,0.035684335976839066
SN2014at,0.032242,0.03156499915066879,0.0164,0.971562698434288,0.05966837743559368,0.0007126637567418042,0.000376143844958673,-0.08777618408203125,0.039437356974802655,2456774.0,16.47848892211914,0.023318495601415634,2456775.25,16.566265106201172,0.03180491924285889,2456772.75,15.99722671508789,0.02458699606359005,2456772.5,19.035903930664062,0.05330100283026695,2456774.0,20.208412170410156,0.14953844249248505,2456771.75,17.704479217529297,0.03613933548331261
SN2016ekg,0.017,0.01606645820111884,0.0189,1.133208934492052,0.032494457244906336,-5.756240169140104e-05,0.00029313163925313754,-0.07546138763427734,0.030012503600567404,2457608.25,14.993478775024414,0.017823124304413795,2457609.25,15.068940162658691,0.024147186428308487,2457606.75,14.577595710754395,0.024194393306970596,2457606.75,17.64910125732422,0.038924772292375565,2457608.0,18.432476043701172,0.0643446296453476,2457606.0,16.12713623046875,0.038988154381513596
SN2018aoz,0.005801,0.006934007940455501,0.0721,0.9304747463283184,0.01459891504236772,0.00018435182214738885,0.0006366951916429513,0.09573936462402344,0.041092397943621885,2458221.75,12.965699195861816,0.028536004945635796,2458223.25,12.869959831237793,0.029568253085017204,2458220.5,12.34064769744873,0.028764350339770317,2458220.25,14.951924324035645,0.04196050763130188,2458222.0,15.455424308776855,0.049232739955186844,2458219.75,13.488418579101562,0.035423774272203445
LSQ12gdj,0.0303,0.029277978512223343,0.0199,1.2183807442571062,0.014760144613385238,6.872815972168946e-05,2.766790365118357e-05,-0.061862945556640625,0.05708130395004455,2456253.75,15.93603229522705,0.007309216074645519,2456255.0,15.997895240783691,0.056611400097608566,2456252.25,15.188095092773438,0.054559119045734406,2456252.25,18.252958297729492,0.10430248826742172,2456253.5,18.546337127685547,0.10705577582120895,2456251.5,16.864784240722656,0.07474293559789658
SN2018zz,0.013763,0.014592668890109257,0.0624,0.8261250919400557,0.10426340299322595,0.015180216905914909,0.028807414625035423,0.2560272216796875,0.25623055957351243,2458188.75,15.146060943603516,0.20301859080791473,2458190.0,14.890033721923828,0.15632514655590057,2458187.0,14.767656326293945,0.18683364987373352,2458187.25,17.57444953918457,0.07926180958747864,2458189.0,17.828920364379883,0.07561874389648438,2458186.5,16.246170043945312,0.055710237473249435
SN2012fr,0.005457,0.005132729292137302,0.0177,1.1422811092384635,0.012276682967738334,2.4431600258821093e-05,2.0849256208457112e-05,0.02358531951904297,0.023640960033257066,2456243.75,12.018003463745117,0.005197273567318916,2456244.75,11.994418144226074,0.02306259609758854,2456242.25,11.619444847106934,0.030695898458361626,2456242.25,14.915529251098633,0.047459930181503296,2456243.75,15.938138008117676,0.06114970147609711,2456241.5,13.184042930603027,0.03999814763665199
SN2013ag,0.02129,0.022218027967359274,0.0103,0.9647864226624029,0.048702060288800184,0.000491116210913722,0.0006907848524244236,0.065948486328125,0.04220629885384439,2456359.0,16.142166137695312,0.027920957654714584,2456360.25,16.076217651367188,0.0316510945558548,2456357.75,15.94347858428955,0.03248104825615883,2456357.5,19.004793167114258,0.06800854951143265,2456359.0,19.895259857177734,0.1095416396856308,2456356.75,17.687837600708008,0.049294739961624146
SN2009gf,0.018523,0.019313856095324555,0.021,0.6471019697943544,0.02782491212416318,3.352739858032348e-05,0.00016584735540184717,0.11513137817382812,0.03553384156151625,2455002.25,16.178218841552734,0.014466877095401287,2455003.75,16.063087463378906,0.03245555981993675,2455000.75,16.01759910583496,0.03846662864089012,2455000.75,18.940975189208984,0.07520824670791626,2455002.25,19.386682510375977,0.09851286560297012,2455000.25,17.505611419677734,0.053217824548482895
SN2012V,0.010964,0.01044851727265295,0.062,0.8411851680697818,0.02337074619982328,0.0002962371827159882,0.000731736178833097,-0.0056362152099609375,0.03967216137603746,2455961.25,14.975871086120605,0.02849985845386982,2455962.5,14.981507301330566,0.02759779803454876,2455959.5,14.577917098999023,0.029806477949023247,2455959.75,17.7091007232666,0.05055726319551468,2455961.25,18.39234733581543,0.057568516582250595,2455959.0,16.216476440429688,0.03928012028336525
SN2013dy,0.003889,0.0028843205172910235,0.132,1.1994307036474379,0.011306894971446445,6.873969640435155e-05,5.8211063666522536e-05,0.23624324798583984,0.016933973508281578,2456501.25,13.257784843444824,0.00923277996480465,2456502.5,13.021541595458984,0.014195606112480164,2456499.75,12.851858139038086,0.01446352619677782,2456499.75,16.18244743347168,0.05217194929718971,2456501.0,17.608905792236328,0.07711223512887955,2456499.0,14.531597137451172,0.03363655135035515
PTF10icb,0.008606,0.009048937865388008,0.0093,1.017250051846603,0.01593794626594884,6.549689115440203e-05,0.00011556814272382487,0.05684471130371094,0.01743480756818838,2455361.25,14.508381843566895,0.012030997313559055,2455362.5,14.451537132263184,0.012618542648851871,2455360.0,14.103448867797852,0.012502769008278847,2455359.75,17.493980407714844,0.039994578808546066,2455361.25,18.636655807495117,0.0858125388622284,2455359.25,15.755668640136719,0.018977301195263863
SN2017glx,0.011,0.010454690692486493,0.106,1.0764899758453366,0.045972074976314774,0.00014305309764583014,0.0003752933412796402,0.09047603607177734,0.0352687713004844,2458008.0,14.610418319702148,0.01995501108467579,2458009.0,14.519942283630371,0.029080642387270927,2458006.75,13.94169807434082,0.019755391404032707,2458006.5,17.135087966918945,0.05761570483446121,2458008.0,18.058523178100586,0.08755454421043396,2458005.75,15.423453330993652,0.04141637682914734
ASASSN-15so,0.007125,0.007828943158461521,0.0126,0.8967769602873952,0.013371495228892912,0.00012232784553372388,0.00045736455300602295,0.005053520202636719,0.034390159972130956,2457344.5,13.793392181396484,0.02232380397617817,2457345.75,13.788338661193848,0.02615971863269806,2457343.0,13.23265552520752,0.020158663392066956,2457343.0,16.195104598999023,0.04057803377509117,2457344.75,16.74269676208496,0.049361009150743484,2457342.25,14.762168884277344,0.031041570007801056
SN2017fgc,0.008,0.006952485797567156,0.0294,0.9956569681961989,0.016886762628843668,0.00017770591464672463,0.0006238755914474555,0.325042724609375,0.0382660090097067,2457959.5,13.748017311096191,0.026457004249095917,2457960.75,13.422974586486816,0.02764623612165451,2457958.25,13.594581604003906,0.028810841962695122,2457958.0,16.548593521118164,0.0475722961127758,2457959.5,17.937265396118164,0.07158754020929337,2457957.25,14.991299629211426,0.038551609963178635
PS1-14xw,0.02448,0.024575742696755176,0.0656,1.1799353795978864,0.036541702175906174,-5.6375746872027354e-05,0.00019767909213814274,0.009609222412109375,0.023580386668541637,2456785.75,16.105762481689453,0.01472527626901865,2456787.0,16.096153259277344,0.01841740682721138,2456784.25,15.774895668029785,0.01608739048242569,2456784.25,19.111160278320312,0.03719911724328995,2456785.75,20.20166015625,0.07880307734012604,2456783.5,17.474931716918945,0.024889381602406502
SN2012Z,0.007125,0.0066186130794038695,0.0344,0.8529966787489601,0.013295691956190465,7.839562722689743e-05,4.959214728128209e-05,0.25997066497802734,0.07650223469541559,2455967.75,14.736960411071777,0.009619433432817459,2455969.25,14.47698974609375,0.0758950486779213,2455966.25,14.431979179382324,0.08382000029087067,2455966.5,17.39316749572754,0.18859468400478363,2455968.0,17.66290855407715,0.20476210117340088,2455965.75,16.028152465820312,0.12491939216852188
SN2012hr,0.007562,0.00787693147052177,0.0389,1.1778331448693826,0.018027847992841947,-9.923033341572848e-05,0.00020033715145779236,0.040320396423339844,0.019688480672422584,2456289.0,13.809696197509766,0.014222565107047558,2456290.25,13.769375801086426,0.013614511117339134,2456287.5,13.777548789978027,0.016983220353722572,2456287.5,16.98525047302246,0.0271269753575325,2456289.0,18.002744674682617,0.035889338701963425,2456286.75,15.411861419677734,0.022802289575338364
ASASSN-15ti,0.016,0.015398301366433779,0.1277,0.8774694808663923,0.029813027020139802,0.0003572171126598105,0.0006067676336164949,0.1759052276611328,0.037274650386227265,2457364.25,16.2163143157959,0.025871822610497475,2457365.5,16.040409088134766,0.02683371677994728,2457362.75,16.022315979003906,0.029272636398673058,2457362.75,19.034725189208984,0.07065144926309586,2457364.25,19.705974578857422,0.09001468122005463,2457362.0,17.474515914916992,0.038724593818187714
SN2013cs,0.00924,0.010289334997934753,0.0788,0.9655554532687645,0.015444583656072715,0.00020403256706130033,0.00033103598284173826,0.18496036529541016,0.031435730382682395,2456436.75,13.987615585327148,0.021853210404515266,2456438.25,13.802655220031738,0.02259739674627781,2456435.5,13.972237586975098,0.023620735853910446,2456435.5,17.156774520874023,0.050213683396577835,2456436.75,18.210405349731445,0.0870756059885025,2456434.75,15.472622871398926,0.03548726439476013
SN2009Y,0.009353,0.01010981830748419,0.0874,1.0339917380685133,0.021419804254784503,0.0003089117527248801,0.00022232751240831538,0.19026947021484375,0.03896809632758162,2454876.5,14.403949737548828,0.020142925903201103,2454877.5,14.213680267333984,0.03335828334093094,2454875.25,14.307994842529297,0.032181207090616226,2454875.0,17.579498291015625,0.04852232336997986,2454876.25,18.843713760375977,0.11867529153823853,2454874.25,15.89340591430664,0.04164222627878189
ASASSN-14ad,0.026425,0.027460175186907715,0.0159,1.0669105075222378,0.10503826095647463,7.797081035981004e-05,0.0002588033217303607,-0.10106658935546875,0.03412358367200751,2456693.0,16.29662322998047,0.018351923674345016,2456693.75,16.397689819335938,0.02876848727464676,2456691.5,16.06215476989746,0.02599746361374855,2456691.5,19.340290069580078,0.05776458978652954,2456692.75,20.26188087463379,0.22038231790065765,2456690.75,17.717309951782227,0.03058229386806488
SN2018yu,0.008112,0.008196990744585266,0.1306,0.9748985077909477,0.009695377424109159,7.887570442671074e-05,0.0002193548355703068,0.03567314147949219,0.023994940852025668,2458194.5,13.955926895141602,0.01646587811410427,2458195.75,13.92025375366211,0.017453711479902267,2458193.25,13.565958023071289,0.017814261838793755,2458193.0,16.638261795043945,0.03191033750772476,2458194.5,17.8438720703125,0.04838758707046509,2458192.5,15.13269329071045,0.02538863569498062
SN2011dn,0.025272,0.02445046875273651,0.1472,0.9444553732106629,0.03776367070512033,0.0007258322853644251,0.0013386962520853328,0.1789112091064453,0.06059279713814784,2455743.25,16.23831558227539,0.040856972336769104,2455744.75,16.059404373168945,0.04474589228630066,2455742.0,15.683374404907227,0.043290428817272186,2455742.0,19.06600570678711,0.10459423810243607,2455743.25,19.669736862182617,0.14068229496479034,2455741.25,17.290340423583984,0.05965271219611168
SN2016hvl,0.013,0.013436105832969355,0.3766,1.1576661457494442,0.056989284979356854,-0.00034624106417781037,0.001512568654751366,0.5671625137329102,0.058275810143662274,2457709.0,16.02457046508789,0.03919912129640579,2457710.25,15.45740795135498,0.043121907860040665,2457707.75,15.697278022766113,0.05762656033039093,2457707.5,18.73784828186035,0.13716772198677063,2457709.0,19.044315338134766,0.3274131119251251,2457707.0,17.238174438476562,0.07941851019859314
SN2012bl,0.018706,0.018212477014702782,0.0297,1.0922753718982048,0.04188216625056956,6.21174327377769e-05,0.00035403028680741584,0.004015922546386719,0.032112728059906795,2456019.25,15.280291557312012,0.021287381649017334,2456020.0,15.276275634765625,0.024043183773756027,2456017.75,15.008626937866211,0.028176046907901764,2456017.75,18.275957107543945,0.06712417304515839,2456019.0,18.693206787109375,0.07590554654598236,2456017.0,16.62887954711914,0.04125453531742096
SN2011by,0.002843,0.003405017677520901,0.0119,0.982386492057263,0.006510689701875314,3.148147670266003e-05,6.049259596032169e-05,0.05704212188720703,0.016350841602458196,2455690.75,12.942630767822266,0.009113322012126446,2455691.75,12.885588645935059,0.013575617223978043,2455689.5,12.427413940429688,0.011841452680528164,2455689.25,15.705354690551758,0.026380669325590134,2455690.5,16.44994354248047,0.03165475279092789,2455688.5,13.946682929992676,0.021628564223647118
ASASSN-15rq,0.025,0.02413294936915652,0.0114,1.0693221902473335,0.057324949834489033,0.0006603428440863828,0.0010361158116265069,-0.028612136840820312,0.05406270582059036,2457323.25,15.438650131225586,0.03506839647889137,2457324.25,15.467262268066406,0.04114588350057602,2457322.0,14.748797416687012,0.03726732358336449,2457321.75,17.38422393798828,0.06901081651449203,2457323.0,17.59465217590332,0.06828151643276215,2457321.0,16.0239200592041,0.05581161752343178
SN2011aa,0.012355,0.012404434307816384,0.0237,1.4104981974222175,0.04697654355451993,0.00064231304169832,0.0014403182788520006,0.04594993591308594,0.06012395020406906,2455611.0,14.742053985595703,0.04018199443817139,2455612.25,14.696104049682617,0.04472467675805092,2455609.5,14.029232025146484,0.03997835889458656,2455609.5,16.308395385742188,0.06867013871669769,2455611.0,16.056156158447266,0.06337838619947433,2455609.0,15.082777976989746,0.05569474399089813
