,zhel,zcmb,EBVmw,st,e_st,covM_st,covBV_M,BV,e_BV,B_Tmax,B_Mmax,B_eMmax,V_Tmax,V_Mmax,V_eMmax,u_Tmax,u_Mmax,u_eMmax,UVW2_Tmax,UVW2_Mmax,UVW2_eMmax,UVM2_Tmax,UVM2_Mmax,UVM2_eMmax,UVW1_Tmax,UVW1_Mmax,UVW1_eMmax
SN2009ig,0.00877,0.00801012477773289,0.0269,1.145747291110063,0.011446673522781066,2.9645376191821057e-05,5.458397290522662e-05,0.1217193603515625,0.021421292781986005,2455080.75,13.547062873840332,0.007378792390227318,2455081.75,13.42534351348877,0.020110325887799263,2455079.25,13.187507629394531,0.019097547978162766,2455079.25,16.535686492919922,0.028923502191901207,2455080.5,17.421119689941406,0.04723769426345825,2455078.5,14.763296127319336,0.027451150119304657
SN2015ar,0.017005,0.016016429583971575,0.0578,0.8385860416387277,0.023776089641148364,0.0004393847236930537,0.001092758444025258,0.032657623291015625,0.048649415272501675,2457351.0,15.310576438903809,0.03536277636885643,2457352.25,15.277918815612793,0.033410172909498215,2457349.25,14.833320617675781,0.03678397834300995,2457349.5,17.538549423217773,0.05833344906568527,2457351.25,18.084674835205078,0.06494013965129852,2457348.75,16.18180274963379,0.04685387760400772
SN2017cbv,0.003999,0.0046684298729018844,0.1452,1.297489569719326,0.01384168463013082,0.0001788034604788913,0.0004648843036333401,0.18921470642089844,0.03279345402155748,2457840.25,11.852338790893555,0.024428559467196465,2457841.5,11.663124084472656,0.021878210827708244,2457838.75,11.544989585876465,0.029585829004645348,2457838.75,14.795973777770996,0.044500064104795456,2457840.25,16.0606689453125,0.05108130723237991,2457838.25,13.118782997131348,0.033111266791820526
SN2011fs,0.020914,0.01985652488459457,0.1011,1.1831327297912668,0.05914622114999818,0.0005251489472535139,0.00035761057624170123,0.03989601135253906,0.029329471537888695,2455833.0,15.658660888671875,0.02087492123246193,2455834.25,15.618764877319336,0.02060231938958168,2455831.5,15.313236236572266,0.026994548738002777,2455831.5,18.842275619506836,0.04772404208779335,2455833.0,20.068012237548828,0.08071330934762955,2455830.75,17.181514739990234,0.03503536805510521
ASASSN-14eu,0.022722,0.023396580368679958,0.1316,1.134320966674022,0.10300168248517204,0.00010014213049981322,0.0003070609832446009,0.17140865325927734,0.027021175968052504,2456879.5,16.10020637512207,0.01774568296968937,2456880.5,15.928797721862793,0.020377308130264282,2456878.0,16.295555114746094,0.021539438515901566,2456878.0,19.266563415527344,0.04397859051823616,2456879.25,19.923349380493164,0.05862748250365257,2456877.25,18.00499725341797,0.036621980369091034
SN2013dh,0.013356,0.013837282989684873,0.033,0.7276328624482586,0.059048022603724555,0.0024219346327129273,0.002305615272889126,-0.010074615478515625,0.13318945390995993,2456464.0,17.53019905090332,0.048537373542785645,2456465.25,17.540273666381836,0.1240304559469223,2456462.25,16.621538162231445,0.05306071415543556,2456462.5,18.515256881713867,0.164553701877594,2456464.25,18.388216018676758,0.23903129994869232,2456461.75,17.834518432617188,0.11057846993207932
SN2011de,0.029187,0.02922216059593813,0.0256,1.0673399000063906,0.07106613078682233,0.0012076959247852553,0.0023873857111850368,-0.028634071350097656,0.07922806426487587,2455714.0,15.752084732055664,0.05421360209584236,2455714.75,15.780718803405762,0.05777518078684807,2455712.5,14.90053653717041,0.0592443123459816,2455712.5,17.38276481628418,0.10625065118074417,2455713.75,17.26180648803711,0.09762567281723022,2455711.75,16.102846145629883,0.09311175346374512
SN2012da,0.018012,0.01890792931969361,0.0089,1.2591546843789962,0.12044430078638574,-0.0014312797925862047,0.00044313130082206174,-0.0981130599975586,0.04030013660824387,2456109.25,15.654471397399902,0.026826972141861916,2456110.5,15.752584457397461,0.030073486268520355,2456108.0,15.262434959411621,0.029558610171079636,2456107.75,18.68678092956543,0.05418404936790466,2456109.25,19.6048526763916,0.10093474388122559,2456107.25,16.994176864624023,0.0388224758207798
iPTF14bdn,0.01588,0.016647538782951516,0.0096,1.3193131457058855,0.017241085608539132,0.00014352386992337948,0.00031550505477469346,-0.05776405334472656,0.030899347090725924,2456821.5,14.842644691467285,0.019793983548879623,2456822.75,14.900408744812012,0.023726943880319595,2456820.0,14.386460304260254,0.0203712061047554,2456820.0,17.718963623046875,0.03988717868924141,2456821.5,18.544660568237305,0.07280897349119186,2456819.5,16.11602210998535,0.026428937911987305
SN2012dn,0.010187,0.009456292644659092,0.0519,1.129916776118678,0.05645524246740327,6.219231892521269e-05,0.0021637351103699627,0.10410213470458984,0.07425645741220792,2456131.0,14.391898155212402,0.046726372092962265,2456131.75,14.287796020507812,0.05771193653345108,2456129.5,13.637206077575684,0.048199668526649475,2456129.25,16.17433738708496,0.09768608212471008,2456130.75,16.214921951293945,0.0999235287308693,2456128.75,14.83395004272461,0.0747809186577797
