sname,zhel,zcmb,EBVmw,st,e_st,covM_st,covBV_M,BV,e_BV,B_Tmax,B_Mmax,B_eMmax,V_Tmax,V_Mmax,V_eMmax,u_Tmax,u_Mmax,u_eMmax,UVW2_Tmax,UVW2_Mmax,UVW2_eMmax,UVM2_Tmax,UVM2_Mmax,UVM2_eMmax,UVW1_Tmax,UVW1_Mmax,UVW1_eMmax
SN2009ig,0.00877,0.00801012477773289,0.0269,1.145747291110060,0.011446673522781100,2.96453761918211E-05,5.45839729052266E-05,0.1217193603515630,0.021421292781986000,2455080.75,13.547062873840300,0.007378792390227320,2455081.75,13.42534351348880,0.020110325887799300,2455079.25,13.187507629394500,0.019097547978162800,2455079.25,16.535686492919900,0.028923502191901200,2455080.5,17.421119689941400,0.04723769426345830,2455078.5,14.763296127319300,0.027451150119304700
SN2015ar,0.017005,0.016016429583971600,0.0578,0.8385860416387280,0.023776089641148400,0.0004393847236930540,0.001092758444025260,0.032657623291015600,0.048649415272501700,2457351.0,15.310576438903800,0.03536277636885640,2457352.25,15.277918815612800,0.033410172909498200,2457349.25,14.833320617675800,0.03678397834301000,2457349.5,17.538549423217800,0.05833344906568530,2457351.25,18.084674835205100,0.06494013965129850,2457348.75,16.18180274963380,0.04685387760400770
SN2017cbv,0.003999,0.0046684298729018800,0.1452,1.297489569719330,0.01384168463013080,0.0001788034604788910,0.0004648843036333400,0.18921470642089800,0.03279345402155750,2457840.25,11.852338790893600,0.024428559467196500,2457841.5,11.663124084472700,0.021878210827708200,2457838.75,11.544989585876500,0.029585829004645300,2457838.75,14.795973777771000,0.044500064104795500,2457840.25,16.0606689453125,0.05108130723237990,2457838.25,13.118782997131300,0.033111266791820500
SN2011fs,0.020914,0.01985652488459460,0.1011,1.1831327297912700,0.05914622114999820,0.0005251489472535140,0.00035761057624170100,0.03989601135253910,0.029329471537888700,2455833.0,15.658660888671900,0.02087492123246190,2455834.25,15.618764877319300,0.02060231938958170,2455831.5,15.313236236572300,0.026994548738002800,2455831.5,18.842275619506800,0.04772404208779340,2455833.0,20.068012237548800,0.08071330934762960,2455830.75,17.181514739990200,0.03503536805510520
ASASSN-14eu,0.022722,0.023396580368680000,0.1316,1.134320966674020,0.10300168248517200,0.00010014213049981300,0.0003070609832446010,0.17140865325927700,0.027021175968052500,2456879.5,16.10020637512210,0.01774568296968940,2456880.5,15.928797721862800,0.020377308130264300,2456878.0,16.295555114746100,0.021539438515901600,2456878.0,19.266563415527300,0.04397859051823620,2456879.25,19.923349380493200,0.05862748250365260,2456877.25,18.00499725341800,0.036621980369091000
SN2013dh,0.013356,0.013837282989684900,0.033,0.7276328624482590,0.059048022603724600,0.0024219346327129300,0.002305615272889130,-0.010074615478515600,0.13318945390996000,2456464.0,17.53019905090330,0.048537373542785600,2456465.25,17.540273666381800,0.1240304559469220,2456462.25,16.621538162231400,0.05306071415543560,2456462.5,18.515256881713900,0.164553701877594,2456464.25,18.388216018676800,0.23903129994869200,2456461.75,17.834518432617200,0.11057846993207900
SN2011de,0.029187,0.02922216059593810,0.0256,1.0673399000063900,0.07106613078682230,0.0012076959247852600,0.0023873857111850400,-0.028634071350097700,0.07922806426487590,2455714.0,15.752084732055700,0.05421360209584240,2455714.75,15.780718803405800,0.05777518078684810,2455712.5,14.90053653717040,0.0592443123459816,2455712.5,17.38276481628420,0.10625065118074400,2455713.75,17.26180648803710,0.09762567281723020,2455711.75,16.102846145629900,0.09311175346374510
SN2012da,0.018012,0.01890792931969360,0.0089,1.2591546843790000,0.12044430078638600,-0.0014312797925862000,0.00044313130082206200,-0.0981130599975586,0.04030013660824390,2456109.25,15.654471397399900,0.026826972141861900,2456110.5,15.752584457397500,0.030073486268520400,2456108.0,15.262434959411600,0.029558610171079600,2456107.75,18.68678092956540,0.05418404936790470,2456109.25,19.6048526763916,0.10093474388122600,2456107.25,16.994176864624000,0.0388224758207798
iPTF14bdn,0.01588,0.016647538782951500,0.0096,1.3193131457058900,0.017241085608539100,0.00014352386992337900,0.00031550505477469300,-0.05776405334472660,0.030899347090725900,2456821.5,14.842644691467300,0.019793983548879600,2456822.75,14.900408744812000,0.023726943880319600,2456820.0,14.386460304260300,0.0203712061047554,2456820.0,17.718963623046900,0.03988717868924140,2456821.5,18.544660568237300,0.07280897349119190,2456819.5,16.11602210998540,0.026428937911987300
SN2012dn,0.010187,0.009456292644659090,0.0519,1.129916776118680,0.05645524246740330,6.21923189252127E-05,0.0021637351103699600,0.10410213470459000,0.07425645741220790,2456131.0,14.391898155212400,0.046726372092962300,2456131.75,14.287796020507800,0.05771193653345110,2456129.5,13.637206077575700,0.048199668526649500,2456129.25,16.17433738708500,0.09768608212471010,2456130.75,16.214921951293900,0.0999235287308693,2456128.75,14.83395004272460,0.0747809186577797
